,Weight
1,5.53899394483909e-06
2,5.538993218888292e-06
3,5.53899249293248e-06
4,5.538991766971625e-06
5,5.538991041005765e-06
6,5.53899031503486e-06
7,5.538989589058953e-06
8,5.5389888630780776e-06
9,5.5389881370921295e-06
10,5.53898741110111e-06
11,5.538986685105179e-06
12,5.538985959104183e-06
13,5.53898523309818e-06
14,5.538984507087154e-06
15,5.538983781071116e-06
16,5.538983055050054e-06
17,5.538982329023967e-06
18,5.538981602992839e-06
19,5.538980876956755e-06
20,5.538980150915623e-06
21,5.538979424869419e-06
22,5.538978698818273e-06
23,5.5389779727621195e-06
24,5.5389772467009025e-06
25,5.538976520634687e-06
26,5.538975794563425e-06
27,5.538975068487174e-06
28,5.538974342405885e-06
29,5.538973616319574e-06
30,5.538972890228278e-06
31,5.53897216413195e-06
32,5.538971438030611e-06
33,5.538970711924217e-06
34,5.538969985812846e-06
35,5.538969259696417e-06
36,5.5389685335750286e-06
37,5.53896780744859e-06
38,5.5389670813171e-06
39,5.538966355180615e-06
40,5.538965629039108e-06
41,5.538964902892598e-06
42,5.538964176741088e-06
43,5.538963450584501e-06
44,5.538962724422937e-06
45,5.538961998256334e-06
46,5.538961272084764e-06
47,5.538960545908123e-06
48,5.53895981972647e-06
49,5.538959093539782e-06
50,5.538958367348101e-06
51,5.538957641151388e-06
52,5.5389569149496815e-06
53,5.5389561887429315e-06
54,5.538955462531171e-06
55,5.538954736314349e-06
56,5.5389540100925795e-06
57,5.538953283865757e-06
58,5.5389525576339165e-06
59,0.0672596065481064
60,0.05588473802992451
61,5.538951831397058e-06
62,5.538951228668188e-06
63,5.538950625942632e-06
64,5.53895002322039e-06
65,5.538949420501407e-06
66,5.5389488177857975e-06
67,5.538948215073482e-06
68,5.538947612364411e-06
69,0.12568011157989328
70,5.538947009658699e-06
71,5.538946406956285e-06
72,5.538945804256182e-06
73,5.5389452015582985e-06
74,5.538944598862702e-06
75,5.5389439961693926e-06
76,5.5389433934783676e-06
77,5.538942790789611e-06
78,5.5389421881031565e-06
79,5.5389415854189315e-06
80,5.538940982736999e-06
81,5.5389403800573475e-06
82,5.538939777379988e-06
83,5.538939174704857e-06
84,5.538938572032039e-06
85,5.538937969361456e-06
86,5.538937366693191e-06
87,5.5389367640271885e-06
88,5.538936161363442e-06
89,5.5389355587019845e-06
90,5.538934956042804e-06
91,5.538934353385878e-06
92,5.53893375073126e-06
93,5.538933148078919e-06
94,5.538932545428787e-06
95,5.538931942781015e-06
96,5.538931340135432e-06
97,5.538930737492167e-06
98,5.5389301348511706e-06
99,5.538929532212421e-06
100,5.538928929575953e-06
101,5.538928326941809e-06
102,5.538927724309871e-06
103,5.538927121680256e-06
104,5.538926519052855e-06
105,5.538925916427771e-06
106,5.538925313804938e-06
107,5.538924711184393e-06
108,5.538924108566085e-06
109,5.5389235059501055e-06
110,5.538922903336347e-06
111,5.53892230072485e-06
112,5.538921698115658e-06
113,5.538921095508731e-06
114,5.538920492904088e-06
115,5.5389198903016636e-06
116,5.538919287701543e-06
117,5.538918685103698e-06
118,5.5389180825080925e-06
119,5.53891747991476e-06
120,5.538916877323725e-06
121,5.538916274734965e-06
122,5.538915672148455e-06
123,5.538915069564213e-06
124,5.538914466982211e-06
125,5.538913864402528e-06
126,5.538913261825075e-06
127,5.538912659249928e-06
128,5.5389120566770226e-06
129,5.538911454106407e-06
130,5.5389108515380075e-06
131,5.538910248971924e-06
132,5.5389096464080734e-06
133,5.5389090438465174e-06
134,5.5389084412871925e-06
135,5.538907838730187e-06
136,5.538907236175412e-06
137,5.538906633622904e-06
138,5.538906031072683e-06
139,5.538905428524703e-06
140,5.538904825978984e-06
141,5.53890422343555e-06
142,5.5389036208943664e-06
143,5.5389030183554686e-06
144,5.538902415818827e-06
145,5.538901813284449e-06
146,5.538901210752331e-06
147,5.538900608222495e-06
148,5.538900005694904e-06
149,5.538899403169603e-06
150,5.538898800646505e-06
151,5.5388981981257235e-06
152,5.538897595607212e-06
153,5.538896993090939e-06
154,0.02899344020233734
155,5.54570141214961e-06
156,5.545700877688104e-06
157,5.545700343229505e-06
158,5.545699808773864e-06
159,5.545699274321188e-06
160,5.545698739871442e-06
161,5.5456982054246255e-06
162,5.545697670980746e-06
163,5.545697136539832e-06
164,5.5456966021018535e-06
165,5.545696067666781e-06
166,5.545695533234712e-06
167,5.545694998805554e-06
168,5.545694464379313e-06
169,0.00626859243609366
170,5.49915369288416e-06
171,5.499153087351085e-06
172,5.499152481813456e-06
173,5.499151876271129e-06
174,5.49915127072419e-06
175,5.499150665172632e-06
176,5.499150059616441e-06
177,5.49914945405567e-06
178,5.499148848490246e-06
179,5.4991482429202055e-06
180,5.499147637345482e-06
181,5.499147031766212e-06
182,5.4991464261822375e-06
183,5.499145820593724e-06
184,5.499145215000511e-06
185,5.499144609402691e-06
186,5.499144003800253e-06
187,5.499143398193172e-06
188,5.499142792581474e-06
189,5.49914218696517e-06
190,5.499141581344252e-06
191,5.499140975718662e-06
192,5.4991403700884846e-06
193,5.499139764453643e-06
194,5.499139158814176e-06
195,5.49913855317009e-06
196,5.499137947521377e-06
197,5.499137341868064e-06
198,5.499136736210104e-06
199,5.499136130547492e-06
200,5.499135524880268e-06
201,5.499134919208438e-06
202,5.499134313531941e-06
203,5.499133707850868e-06
204,5.499133102165112e-06
205,5.499132496474741e-06
206,5.4991318907797614e-06
207,5.499131285080097e-06
208,5.499130679375897e-06
209,5.49913007366701e-06
210,5.499129467953506e-06
211,5.4991288622353755e-06
212,5.499128256512612e-06
213,5.499127650785242e-06
214,5.499127045053144e-06
215,5.499126439316496e-06
216,5.49912583357525e-06
217,5.499125227829356e-06
218,5.499124622078793e-06
219,5.499124016323639e-06
220,5.4991234105638084e-06
221,5.499122804799421e-06
222,5.4991221990303434e-06
223,5.49912159325662e-06
224,5.499120987478309e-06
225,5.499120381695378e-06
226,5.4991197759077845e-06
227,5.49911917011557e-06
228,5.499118564318739e-06
229,5.499117958517203e-06
230,5.499117352711154e-06
231,5.499116746900411e-06
232,5.499116141085015e-06
233,5.499115535264994e-06
234,5.499114929440399e-06
235,5.499114323611159e-06
236,5.4991137177772214e-06
237,5.499113111938724e-06
238,5.499112506095559e-06
239,5.499111900247797e-06
240,5.499111294395347e-06
241,5.499110688538251e-06
242,5.499110082676574e-06
243,5.499109476810283e-06
244,5.4991088709393195e-06
245,5.4991082650637e-06
246,5.499107659183512e-06
247,5.499107053298649e-06
248,5.499106447409198e-06
249,5.499105841515042e-06
250,5.499105235616332e-06
251,5.49910462971291e-06
252,0.2907877926546501
253,5.499104023804914e-06
254,5.499103417892283e-06
255,5.499102811980044e-06
256,0.008919440124541355
257,5.499102206068234e-06
258,5.499101600156811e-06
259,5.4991009942458865e-06
260,5.499100388335297e-06
261,5.499099782425184e-06
262,5.4990991765154526e-06
263,5.499098570606156e-06
264,0.022938432137169472
265,5.499097964697242e-06
266,5.499097554477118e-06
267,5.499097144261338e-06
268,5.499096734049849e-06
269,5.499096323842751e-06
270,5.499095913639903e-06
271,5.499095503441454e-06
272,0.07401140185585386
273,5.539083857242686e-06
274,5.539083846940539e-06
275,5.539083836646676e-06
276,5.539083826361165e-06
277,5.539083816083987e-06
278,5.539083805815142e-06
279,5.539083795554651e-06
280,5.539083785302439e-06
281,5.5390837750585505e-06
282,5.5390837648230585e-06
283,5.539083754595875e-06
284,5.539083744377003e-06
285,5.539083734166463e-06
286,5.539083723964268e-06
287,5.539083713770374e-06
288,5.539083703584804e-06
289,0.05973197388949423
290,5.539083693407603e-06
291,5.539083559970488e-06
292,5.5390834265392515e-06
293,5.5390832931138526e-06
294,5.5390831596943295e-06
295,5.5390830262806645e-06
296,5.539082892872877e-06
297,5.539082759470948e-06
298,5.5390826260749e-06
299,5.53908249268466e-06
300,5.539082359300361e-06
301,5.5390822259218914e-06
