,Weight
1,4.680333695593004e-06
2,4.68033206149391e-06
3,4.6803304273962465e-06
4,4.680328793300088e-06
5,4.680327159205324e-06
6,4.6803255251120236e-06
7,4.680323891020144e-06
8,4.680322256929788e-06
9,4.6803206228407865e-06
10,4.680318988753305e-06
11,4.680317354667244e-06
12,4.680315720582606e-06
13,4.680314086499459e-06
14,4.68031245241774e-06
15,4.680310818337472e-06
16,4.680309184258641e-06
17,4.680307550181284e-06
18,4.680305916105341e-06
19,4.680304282030895e-06
20,4.680302647957883e-06
21,4.791947592909146e-06
22,4.665144713111309e-06
23,4.665142928643777e-06
24,4.665141144174246e-06
25,0.04055633691002273
26,4.665139359702758e-06
27,4.665137575229376e-06
28,4.665135790754024e-06
29,4.665134006276732e-06
30,4.665132221797485e-06
31,4.665130437316288e-06
32,4.6651286528331685e-06
33,4.6651268683480925e-06
34,4.665125083861041e-06
35,4.66512329937208e-06
36,4.6651215148811696e-06
37,4.665119730388341e-06
38,4.665117945893547e-06
39,4.665116161396805e-06
40,4.66511437689812e-06
41,4.665112592397496e-06
42,4.665110807894915e-06
43,4.665109023390431e-06
44,4.665107238883943e-06
45,4.665105454375551e-06
46,4.665103669865224e-06
47,4.665101885352929e-06
48,4.6651001008386985e-06
49,0.026386918460112947
50,4.665098316322525e-06
51,4.665097066966064e-06
52,4.6650958176184145e-06
53,4.6650945682795075e-06
54,4.665093318949357e-06
55,4.665092069627968e-06
56,4.665090820315338e-06
57,4.6650895710114705e-06
58,4.785642682508806e-06
59,4.659448854990334e-06
60,0.10617015618347404
61,4.659447885854452e-06
62,4.65944691673339e-06
63,4.659445947625888e-06
64,4.659444978531925e-06
65,4.659444009451506e-06
66,4.659443040384621e-06
67,4.659442071331262e-06
68,4.659441102291445e-06
69,0.04617370564573359
70,4.6594401332651616e-06
71,4.659439164252419e-06
72,4.659438195253209e-06
73,4.65943722626755e-06
74,4.659436257295404e-06
75,4.659435288336805e-06
76,4.6594343193917615e-06
77,4.659433350460219e-06
78,4.65943238154224e-06
79,4.6594314126377835e-06
80,4.659430443746879e-06
81,4.659429474869501e-06
82,4.659428506005699e-06
83,4.6594275371554204e-06
84,4.659426568318621e-06
85,4.659425599495429e-06
86,4.6594246306857846e-06
87,4.659423661889646e-06
88,4.659422693107052e-06
89,4.659421724338005e-06
90,0.13066983036538446
91,4.659420755582476e-06
92,4.659419786840523e-06
93,4.659418818114819e-06
94,4.659417849405469e-06
95,4.659416880712402e-06
96,4.659415912035633e-06
97,4.659414943375162e-06
98,4.659413974731003e-06
99,4.6594130061031675e-06
100,4.6594120374915935e-06
101,0.000985159779762944
102,4.659411068896361e-06
103,4.659410100317383e-06
104,4.65940913175474e-06
105,4.659408163208419e-06
106,4.65940719467838e-06
107,4.659406226164662e-06
108,4.659405257667228e-06
109,4.659404289186099e-06
110,4.659403320721246e-06
111,4.659402352272779e-06
112,4.659401383840575e-06
113,4.6594004154246635e-06
114,4.659399447025046e-06
115,4.659398478641768e-06
116,4.6593975102748125e-06
117,4.659396541924125e-06
118,4.659395573589764e-06
119,4.6593946052717015e-06
120,4.659393636969928e-06
121,4.659392668684495e-06
122,4.659391700415375e-06
123,4.659390732162528e-06
124,4.659389763926042e-06
125,4.659388795705816e-06
126,4.659387827501904e-06
127,4.659386859314346e-06
